order_id,year,month,product_code,quantity,user_id
0,2020,2,92,8,863
1,2018,11,50,9,377
2,2020,4,96,2,977
3,2020,1,76,2,538
4,2018,6,36,4,878
5,2019,1,28,8,142
6,2020,12,42,3,504
7,2020,5,92,10,61
8,2018,8,49,6,571
9,2018,10,85,8,879
10,2018,6,55,5,565
11,2018,8,71,10,192
12,2020,1,70,5,576
13,2018,9,4,2,172
14,2020,9,99,10,29
15,2019,5,32,1,562
16,2020,6,47,8,560
17,2019,6,22,2,689
18,2020,10,32,8,145
19,2018,10,31,8,489
20,2019,3,17,1,510
21,2020,8,14,3,939
22,2018,4,2,3,950
23,2020,2,82,9,917
24,2019,6,63,1,427
25,2020,3,41,5,67
26,2018,11,84,9,879
27,2018,4,98,5,559
28,2020,1,92,3,834
29,2018,9,48,5,38
30,2020,7,20,1,366
31,2019,6,66,4,566
32,2020,4,85,10,408
33,2018,6,89,1,603
34,2019,7,92,6,330
35,2018,8,16,8,706
36,2020,9,15,4,149
37,2019,5,64,9,555
38,2018,8,90,6,754
39,2018,11,54,2,960
40,2019,8,50,6,950
41,2019,9,84,8,886
42,2018,10,29,2,794
43,2020,3,45,8,957
44,2020,10,63,6,735
45,2020,5,31,4,894
46,2020,4,70,10,94
47,2020,9,5,4,729
48,2018,9,33,8,63
49,2018,1,80,8,981
50,2019,2,49,7,180
51,2020,1,30,5,244
52,2020,4,59,3,85
53,2020,8,81,8,43
54,2018,1,95,3,633
55,2019,9,57,4,196
56,2018,4,52,9,527
57,2020,8,76,8,719
58,2019,8,80,9,922
59,2019,1,27,8,884
60,2020,4,61,10,653
61,2020,1,78,4,319
62,2020,8,83,7,537
63,2019,12,40,9,969
64,2020,4,69,4,358
65,2019,10,30,5,668
66,2019,9,89,3,184
67,2019,3,27,5,493
68,2018,2,87,1,407
69,2019,9,64,8,942
70,2018,6,32,5,922
71,2019,2,60,1,27
72,2019,12,0,6,304
73,2018,11,14,1,738
74,2018,8,26,1,569
75,2018,12,26,9,76
76,2020,2,38,3,932
77,2019,11,52,1,824
78,2019,3,49,8,43
79,2020,1,33,4,513
80,2020,9,47,4,183
81,2020,2,45,7,734
82,2019,11,31,3,645
83,2020,2,23,10,900
84,2020,2,58,5,81
85,2019,11,37,6,678
86,2018,12,44,3,996
87,2019,1,75,8,327
88,2020,6,7,9,1
89,2020,9,60,3,939
90,2018,1,27,3,53
91,2019,4,79,10,327
92,2019,1,58,4,90
93,2019,1,82,8,165
94,2018,9,96,8,432
95,2019,3,40,1,174
96,2020,6,74,4,221
97,2018,10,2,5,332
98,2018,8,84,4,34
99,2018,11,30,10,296
100,2019,9,74,4,923
101,2020,3,15,3,344
102,2019,10,62,6,750
103,2020,1,93,4,133
104,2020,7,87,2,644
105,2018,2,62,3,509
106,2020,4,85,7,759
107,2018,1,87,9,814
108,2020,10,96,6,568
109,2020,3,92,6,375
110,2018,2,55,6,332
111,2020,1,15,5,719
112,2019,10,29,6,997
113,2019,7,96,9,539
114,2019,10,34,9,53
115,2018,10,76,4,387
116,2020,7,65,3,523
117,2019,6,32,2,454
118,2019,11,15,8,306
119,2019,12,78,1,35
120,2020,12,86,3,468
121,2018,12,0,6,301
122,2020,4,14,3,46
123,2020,6,21,4,0
124,2019,8,58,1,617
125,2020,9,9,7,577
126,2018,4,73,8,278
127,2020,8,3,5,412
128,2019,4,1,1,772
129,2019,8,16,7,958
130,2020,12,84,1,941
131,2019,1,91,8,197
132,2020,3,75,1,237
133,2018,11,6,1,26
134,2018,6,61,5,135
135,2018,10,29,2,663
136,2019,9,60,1,642
137,2019,2,57,7,761
138,2018,7,9,7,873
139,2020,12,23,9,9
140,2018,5,19,10,393
141,2018,4,57,2,477
142,2018,1,6,2,88
143,2020,6,57,7,904
144,2019,1,60,3,180
145,2020,12,42,5,241
146,2018,10,86,6,827
147,2019,7,87,1,273
148,2019,7,43,6,460
149,2019,3,68,10,895
150,2018,1,36,7,699
151,2020,6,14,8,794
152,2019,1,4,10,917
153,2018,10,74,7,507
154,2020,10,56,2,562
155,2020,11,55,7,458
156,2018,4,52,5,604
157,2019,8,46,1,467
158,2018,2,12,3,473
159,2020,9,39,1,556
160,2020,11,49,9,951
161,2020,12,9,9,493
162,2020,5,10,6,671
163,2019,8,57,4,886
164,2018,12,69,5,226
165,2020,11,0,8,91
166,2019,7,41,2,371
167,2018,4,71,1,881
168,2019,10,81,8,271
169,2020,3,67,6,947
170,2018,9,86,5,760
171,2019,3,41,1,456
172,2020,9,60,5,812
173,2018,2,34,2,132
174,2019,6,71,9,206
175,2018,11,15,2,585
176,2019,9,99,7,399
177,2019,3,39,6,321
178,2019,4,68,2,453
179,2018,11,9,8,907
180,2020,3,53,5,382
181,2020,5,47,8,140
182,2018,11,97,8,306
183,2018,12,74,8,216
184,2020,10,48,4,794
185,2018,6,7,1,630
186,2019,1,50,6,687
187,2018,10,92,10,926
188,2020,5,90,9,431
189,2019,10,91,6,582
190,2020,8,54,3,359
191,2020,1,32,2,962
192,2019,3,77,6,670
193,2020,11,1,1,450
194,2020,4,85,8,944
195,2019,4,18,10,11
196,2019,9,71,3,976
197,2019,6,58,6,55
198,2020,3,26,1,43
199,2019,1,12,10,596
200,2018,10,44,6,713
201,2020,9,84,3,586
202,2019,5,81,10,23
203,2018,4,98,4,370
204,2020,9,36,5,987
205,2020,10,81,9,633
206,2020,2,23,5,101
207,2018,3,27,8,808
208,2020,6,49,3,171
209,2018,12,2,7,722
210,2020,3,1,7,57
211,2020,3,89,4,115
212,2020,7,83,3,178
213,2019,1,38,2,53
214,2020,12,71,10,626
215,2020,6,93,1,149
216,2019,4,18,8,135
217,2020,12,20,5,411
218,2020,8,42,1,846
219,2018,7,55,6,746
220,2018,2,35,1,233
221,2018,5,18,10,815
222,2020,4,29,3,622
223,2018,12,73,10,54
224,2019,1,80,4,659
225,2018,12,32,10,876
226,2020,8,18,8,605
227,2018,11,65,1,603
228,2018,1,67,1,985
229,2020,9,1,1,48
230,2018,12,43,4,182
231,2019,12,77,6,489
232,2020,8,75,1,730
233,2019,10,82,9,313
234,2020,1,9,1,288
235,2019,8,52,6,379
236,2018,2,64,7,792
237,2018,1,54,9,11
238,2019,1,83,2,421
239,2020,2,14,3,212
240,2020,7,84,5,238
241,2018,11,53,5,514
242,2020,3,28,1,140
243,2019,9,8,1,750
244,2020,1,35,8,702
245,2018,10,82,9,43
246,2018,4,21,1,345
247,2020,12,62,10,958
248,2018,10,68,7,22
249,2018,10,45,2,545
250,2018,2,95,8,115
251,2020,1,39,1,663
252,2018,3,93,8,798
253,2018,1,68,5,116
254,2020,9,31,4,838
255,2018,2,7,5,983
256,2019,7,65,8,728
257,2020,8,28,10,733
258,2018,3,8,7,178
259,2018,6,48,10,166
260,2018,11,92,2,541
261,2019,1,85,6,223
262,2019,11,39,10,45
263,2018,4,99,6,234
264,2020,6,57,6,876
265,2020,9,96,8,734
266,2018,5,73,9,255
267,2019,3,20,8,97
268,2020,2,41,9,898
269,2019,7,64,10,735
270,2019,9,5,9,487
271,2019,5,13,6,99
272,2018,5,29,8,755
273,2018,7,71,9,579
274,2019,3,83,8,768
275,2019,12,68,4,715
276,2018,4,96,9,449
277,2019,6,58,8,309
278,2019,3,95,5,393
279,2019,5,29,3,93
280,2019,6,82,5,57
281,2019,3,54,10,164
282,2020,4,89,1,274
283,2020,9,45,3,749
284,2018,3,16,2,207
285,2019,7,6,7,951
286,2020,9,0,1,870
287,2018,11,7,5,813
288,2020,2,56,4,456
289,2020,8,36,1,705
290,2018,10,98,3,984
291,2019,4,85,3,105
292,2019,10,65,5,463
293,2018,1,36,8,210
294,2019,3,62,10,228
295,2020,3,99,10,28
296,2020,12,68,7,667
297,2018,9,74,5,685
298,2019,5,85,4,531
299,2020,11,15,8,938
300,2020,4,64,6,903
301,2018,9,30,9,768
302,2018,4,32,4,503
303,2019,8,84,3,591
304,2020,3,95,8,439
305,2020,4,71,3,928
306,2018,3,97,5,159
307,2020,5,94,5,201
308,2020,1,76,4,24
309,2020,10,97,3,26
310,2018,1,87,2,71
311,2018,12,87,8,820
312,2019,7,63,4,764
313,2018,5,88,6,613
314,2020,11,80,4,324
315,2018,9,75,6,513
316,2019,9,65,7,985
317,2020,3,69,4,84
318,2019,11,28,5,444
319,2019,7,56,8,829
320,2018,10,83,8,234
321,2019,11,48,3,341
322,2019,2,42,10,136
323,2018,6,59,3,947
324,2018,1,94,5,872
325,2019,5,32,7,86
326,2019,6,62,10,280
327,2020,3,85,7,113
328,2018,9,77,5,527
329,2018,1,39,7,270
330,2020,1,90,7,894
331,2019,10,45,3,630
332,2019,11,35,1,557
333,2019,7,45,6,314
334,2020,5,12,7,35
335,2020,7,29,8,298
336,2019,4,65,5,665
337,2019,11,55,5,126
338,2019,7,85,3,574
339,2018,5,17,9,350
340,2019,2,99,10,195
341,2018,4,81,4,527
342,2020,8,20,5,494
343,2020,1,21,4,257
344,2020,10,1,8,261
345,2018,9,19,8,954
346,2019,12,70,3,732
347,2019,11,18,4,884
348,2020,12,17,9,879
349,2020,1,61,5,308
350,2018,7,35,2,565
351,2018,5,3,5,112
352,2019,2,29,1,512
353,2019,5,9,6,301
354,2019,12,6,2,322
355,2018,7,38,5,902
356,2019,7,31,3,926
357,2019,2,63,8,221
358,2018,10,2,7,153
359,2019,10,74,10,926
360,2019,2,78,5,836
361,2020,4,19,9,454
362,2019,2,7,7,959
363,2018,8,65,3,324
364,2018,7,27,7,692
365,2018,4,26,8,488
366,2019,7,63,4,920
367,2018,2,1,1,683
368,2019,10,44,5,136
369,2018,8,70,6,306
370,2020,10,29,5,176
371,2019,2,40,3,833
372,2018,10,30,4,86
373,2018,5,66,3,69
374,2019,3,85,2,466
375,2018,12,62,5,992
376,2018,3,15,7,748
377,2019,6,85,10,279
378,2018,9,26,8,216
379,2020,3,46,8,789
380,2019,1,78,8,491
381,2020,6,45,4,356
382,2020,4,16,1,315
383,2019,6,91,6,927
384,2020,2,49,2,187
385,2020,12,32,5,872
386,2019,10,92,2,654
387,2018,10,83,10,645
388,2020,1,12,3,731
389,2019,10,86,6,975
390,2020,1,2,6,62
391,2020,10,93,1,644
392,2020,9,48,5,604
393,2019,12,19,6,318
394,2019,11,94,6,753
395,2020,12,49,2,824
396,2018,1,63,7,332
397,2019,5,11,8,635
398,2019,12,44,9,89
399,2019,6,99,7,942
400,2019,3,77,1,914
401,2018,8,16,2,789
402,2018,8,3,9,133
403,2018,1,29,3,621
404,2018,2,48,1,417
405,2020,6,0,10,366
406,2018,7,68,6,571
407,2020,8,36,3,790
408,2018,11,78,9,133
409,2018,9,54,6,565
410,2020,3,89,4,807
411,2020,6,83,9,472
412,2019,3,66,5,236
413,2019,4,21,5,965
414,2020,10,23,4,904
415,2019,1,7,3,304
416,2018,1,89,3,745
417,2019,2,62,2,738
418,2019,11,36,5,747
419,2020,4,8,9,481
420,2019,10,45,6,891
421,2018,11,74,1,629
422,2019,2,26,6,992
423,2018,5,77,6,852
424,2020,8,94,7,595
425,2018,9,63,6,351
426,2019,2,75,2,388
427,2020,8,30,4,385
428,2019,10,16,1,688
429,2020,4,73,10,170
430,2018,8,88,10,805
431,2018,5,53,9,217
432,2018,2,76,1,460
433,2018,1,11,7,158
434,2019,5,10,6,183
435,2019,4,25,8,211
436,2018,2,19,5,83
437,2020,11,13,4,326
438,2018,1,60,6,788
439,2019,11,66,10,340
440,2019,10,55,8,533
441,2019,1,89,2,665
442,2020,12,34,4,659
443,2020,9,78,8,681
444,2020,4,23,9,116
445,2020,8,91,7,196
446,2020,6,15,8,417
447,2020,8,15,9,371
448,2018,11,91,8,507
449,2020,8,87,3,832
450,2020,10,38,3,339
451,2020,6,15,4,68
452,2020,8,77,7,70
453,2020,4,8,3,21
454,2019,2,30,1,387
455,2018,1,93,3,318
456,2020,7,60,3,247
457,2019,3,29,7,106
458,2018,9,25,9,783
459,2020,7,6,8,134
460,2020,1,38,10,35
461,2020,5,39,5,181
462,2020,11,64,9,959
463,2020,11,91,4,849
464,2019,5,71,6,767
465,2019,5,40,2,263
466,2019,1,68,1,694
467,2020,7,3,10,865
468,2019,2,67,8,330
469,2018,5,69,5,312
470,2018,12,57,3,889
471,2018,12,68,5,974
472,2019,5,52,9,673
473,2019,1,17,9,111
474,2020,6,56,2,291
475,2019,10,89,5,610
476,2019,1,65,5,18
477,2019,9,80,4,508
478,2018,4,24,5,543
479,2018,5,65,9,42
480,2019,11,13,9,805
481,2020,8,32,2,642
482,2018,3,81,5,300
483,2019,4,50,4,361
484,2019,7,63,1,323
485,2020,3,43,4,828
486,2020,12,22,2,723
487,2020,11,7,3,986
488,2018,1,43,7,372
489,2019,2,75,5,21
490,2019,4,56,2,804
491,2020,6,22,10,842
492,2020,9,11,9,789
493,2019,4,52,1,728
494,2018,1,68,4,646
495,2019,10,4,5,136
496,2020,2,59,4,667
497,2019,1,64,7,672
498,2020,5,47,7,448
499,2020,4,70,1,446
500,2019,5,69,7,553
501,2018,10,7,6,647
502,2019,12,72,10,797
503,2019,8,3,5,616
504,2018,6,38,7,820
505,2018,11,91,9,347
506,2020,2,85,9,752
507,2019,12,59,10,372
508,2018,11,9,3,473
509,2018,4,10,2,881
510,2019,8,12,8,366
511,2020,10,38,1,345
512,2019,6,52,9,924
513,2020,7,51,6,188
514,2019,3,97,6,363
515,2018,1,71,3,72
516,2019,6,16,5,372
517,2020,4,79,9,570
518,2020,9,25,1,669
519,2020,11,76,3,285
520,2019,7,85,7,46
521,2019,12,16,6,247
522,2018,2,45,5,25
523,2019,9,82,7,330
